Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ecuador,0.288,0.315,0.308,0.332,0.343,0.35,0.336,0.345,0.361,0.365,0.375,0.392,0.423,0.463,0.518,0.574,0.583,0.593,0.619,0.65,0.645
Egypt,1.511,1.563,1.599,1.737,1.799,1.856,1.931,2.017,2.237,2.269,2.443,2.595,2.758,2.603,2.756,3.133,3.188,3.233,3.405,3.672,3.561
El Salvador,0.062,0.069,0.084,0.086,0.087,0.099,0.104,0.101,0.105,0.104,0.113,0.111,0.117,0.122,0.123,0.126,0.118,0.125,0.127,0.128,0.131
Equatorial Guinea,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.049,0.051,0.006,0.05,0.05,0.059,0.066,0.064,0.068,0.07,0.076,0.06
Eritrea,--,0.014,0.015,0.016,0.016,0.017,0.014,0.009,0.011,0.01,0.011,0.01,0.01,0.01,0.01,0.006,0.007,0.01,0.007,0.008,0.01
Estonia,0.093,0.09,0.079,0.086,0.094,0.115,0.088,0.084,0.095,0.099,0.096,0.1,0.087,0.095,0.094,0.095,0.085,0.081,0.078,0.092,0.088
Ethiopia,0.059,0.044,0.048,0.04,0.04,0.052,0.061,0.065,0.07,0.074,0.081,0.085,0.091,0.103,0.112,0.132,0.131,0.138,0.165,0.189,0.203
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011
Fiji,0.017,0.018,0.019,0.02,0.02,0.019,0.021,0.024,0.026,0.03,0.037,0.04,0.039,0.041,0.04,0.036,0.024,0.023,0.024,0.024,0.028
Finland,1.13,1.176,1.123,1.134,1.167,1.214,1.197,1.227,1.242,1.245,1.301,1.336,1.255,1.307,1.326,1.286,1.195,1.285,1.221,1.207,1.204
France,9.814,9.784,10.063,10.419,10.322,10.563,10.703,10.836,11.054,10.988,11.119,11.334,11.366,11.37,11.213,11.296,10.733,11.008,10.772,10.624,10.81
French Guiana,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.014,0.019,0.02,0.021,0.02,0.021,0.021,0.021,0.02,0.018,0.021,0.018,0.016,0.019
French Polynesia,0.013,0.011,0.011,0.011,0.011,0.012,0.011,0.011,0.011,0.011,0.014,0.014,0.015,0.016,0.016,0.017,0.017,0.018,0.016,0.016,0.017
Gabon,0.043,0.044,0.042,0.043,0.046,0.044,0.04,0.037,0.038,0.038,0.039,0.039,0.038,0.042,0.045,0.05,0.052,0.05,0.048,0.061,0.065
"Gambia, The",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.006,0.007,0.006,0.006,0.007
Georgia,0.198,0.156,0.151,0.159,0.106,0.165,0.144,0.138,0.126,0.144,0.131,0.136,0.152,0.14,0.166,0.177,0.178,0.193,0.177,0.184,0.197
Germany,14.064,14.037,14.312,14.299,14.215,14.222,14.019,14.181,14.539,14.202,14.074,14.244,14.064,14.352,13.739,14.026,13.125,13.989,13.404,13.571,13.776
Ghana,0.111,0.115,0.117,0.123,0.122,0.095,0.116,0.143,0.142,0.131,0.125,0.145,0.149,0.15,0.133,0.154,0.172,0.199,0.239,0.246,0.23
Gibraltar,0.041,0.042,0.042,0.042,0.042,0.048,0.042,0.094,0.051,0.052,0.054,0.055,0.056,0.058,0.06,0.057,0.063,0.114,0.121,0.122,0.041
Greece,1.073,1.087,1.124,1.145,1.199,1.274,1.266,1.338,1.355,1.36,1.437,1.427,1.435,1.479,1.5,1.471,1.403,1.348,1.304,1.213,1.151
Greenland,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.012,0.012,0.011,0.014,0.015,0.015,0.015
Grenada,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005
Guadeloupe,0.023,0.024,0.025,0.024,0.025,0.025,0.025,0.026,0.027,0.027,0.029,0.03,0.031,0.033,0.036,0.037,0.032,0.032,0.032,0.031,0.034
Guam,0.047,0.066,0.05,0.045,0.051,0.042,0.047,0.039,0.042,0.029,0.033,0.026,0.053,0.056,0.04,0.025,0.04,0.036,0.032,0.034,0.029
Guatemala,0.092,0.103,0.109,0.113,0.123,0.142,0.153,0.158,0.17,0.169,0.184,0.189,0.196,0.2,0.208,0.2,0.206,0.205,0.209,0.213,0.241
Guinea,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.022,0.023,0.024,0.022,0.024,0.024,0.023,0.023,0.024,0.024,0.024,0.024,0.025,0.023
Guinea-Bissau,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.006,0.006,0.006,0.006,0.006
Guyana,0.015,0.016,0.013,0.014,0.016,0.02,0.021,0.023,0.024,0.024,0.023,0.021,0.023,0.022,0.022,0.023,0.023,0.022,0.023,0.023,0.022
Haiti,0.012,0.01,0.016,0.018,0.022,0.022,0.023,0.024,0.026,0.027,0.026,0.027,0.027,0.028,0.029,0.037,0.033,0.031,0.033,0.033,0.03
Honduras,0.061,0.061,0.065,0.073,0.075,0.08,0.087,0.086,0.093,0.098,0.1,0.109,0.118,0.121,0.133,0.13,0.124,0.131,0.136,0.148,0.156
Hong Kong,0.576,0.564,0.61,0.626,0.663,0.709,0.872,0.785,0.858,0.926,0.959,1.067,1.112,1.1,1.183,1.112,1.278,1.365,1.27,1.201,1.221
Hungary,1.024,1.02,1.033,1.067,1.043,1.051,1.051,1.024,1.056,1.058,1.083,1.084,1.155,1.147,1.114,1.107,1.036,1.055,1.028,0.962,0.945
Iceland,0.081,0.082,0.084,0.09,0.094,0.103,0.112,0.119,0.121,0.125,0.126,0.128,0.129,0.144,0.164,0.212,0.212,0.212,0.213,0.206,0.204
